labels,preds,error
1.049999999701976661e+00,9.465162909030913063e-01,1.034837087988853543e-01
1.030000027716159838e+00,9.474575462937353532e-01,8.254248142242448516e-02
9.699999931454656998e-01,9.298110982775686928e-01,4.018889486789700705e-02
9.699999931454656998e-01,8.928501442074774364e-01,7.714984893798826349e-02
1.030000027716159838e+00,8.669223567843435951e-01,1.630776709318162432e-01
1.040000013709068138e+00,8.766691628098486344e-01,1.633308508992195041e-01
1.149999978244304666e+00,9.107904565334319358e-01,2.392095217108727301e-01
1.219999998807907104e+00,9.543590578436851324e-01,2.656409409642219721e-01
1.170000009536743102e+00,1.002242690324783192e+00,1.677573192119599099e-01
1.260000002086162585e+00,1.023911491334438262e+00,2.360885107517243231e-01
1.109999974966049185e+00,1.051897515058517474e+00,5.810245990753171164e-02
1.000000010430812880e+00,1.022456581294536537e+00,2.245657086372365718e-02
1.000000010430812880e+00,9.896719402074813932e-01,1.032807022333148694e-02
9.900000244379043579e-01,9.258830428123474565e-01,6.411698162555690139e-02
9.399999758601187416e-01,9.189494463801384239e-01,2.105052947998031776e-02
9.200000038743019193e-01,9.079812797904014410e-01,1.201872408390047831e-02
8.899999865889549611e-01,8.722018915414808671e-01,1.779809504747409399e-02
9.299999898672104415e-01,8.216466143727302329e-01,1.083533754944802086e-01
8.600000286102293945e-01,7.757427555322646828e-01,8.425727307796471166e-02
7.999999940395354781e-01,7.383290250599383597e-01,6.167096897959711832e-02
7.700000064074992157e-01,7.269895693659782498e-01,4.301043704152096581e-02
6.800000138580799547e-01,7.221416682004928589e-01,4.214165434241290420e-02
6.999999858438967770e-01,7.115370512008667436e-01,1.153706535696996660e-02
6.999999858438967770e-01,7.107754355669021473e-01,1.077544972300537029e-02
6.899999998509883659e-01,7.016632400453091112e-01,1.166324019432074532e-02
7.300000031292438463e-01,6.930032575130462558e-01,3.699674561619759050e-02
7.599999907612799976e-01,6.946969953179359392e-01,6.530299544334405848e-02
7.199999874830245172e-01,7.164583739638328286e-01,3.541613519191688653e-03
8.100000096857546961e-01,6.987342046201228118e-01,1.112658050656318842e-01
8.100000096857546961e-01,7.049590572714805603e-01,1.050409524142741358e-01
7.900000080466269559e-01,7.198255074024200173e-01,7.017450064420693856e-02
7.599999907612799976e-01,7.300627198815345942e-01,2.993727087974540346e-02
8.100000096857546961e-01,7.230824491381644403e-01,8.691756054759025574e-02
7.999999940395354781e-01,7.271551534533500227e-01,7.284484058618545532e-02
7.500000047683714754e-01,7.107115030288695401e-01,3.928850173950193536e-02
7.799999924004077378e-01,7.095251037180423381e-01,7.047488868236539972e-02
7.399999891221522574e-01,6.923758527636527660e-01,4.762413635849949145e-02
7.500000047683714754e-01,7.091160956025123197e-01,4.088390916585915580e-02
7.199999874830245172e-01,6.979785493016242848e-01,2.202143818140023246e-02
6.899999998509883659e-01,7.104967537522315357e-01,2.049675390124316987e-02
6.499999965727328854e-01,6.711068673431872522e-01,2.110687077045436677e-02
6.200000089406967341e-01,6.379451547563075309e-01,1.794514581561079680e-02
6.299999949336052563e-01,5.986774399876594321e-01,3.132255494594582412e-02
6.200000089406967341e-01,5.717492684721946494e-01,4.825074046850208465e-02
5.700000048428773836e-01,5.716336798667907004e-01,1.633675023913316871e-03
5.400000023841857733e-01,5.624794656038284435e-01,2.247946321964267025e-02
5.099999999254941629e-01,5.777504462003707486e-01,6.775044627487658566e-02
4.899999982863664227e-01,5.413570564985275002e-01,5.135705821216107747e-02
4.899999982863664227e-01,4.853028693795203852e-01,4.697128906846037566e-03
4.899999982863664227e-01,4.411950819194316864e-01,4.880491636693473634e-02
4.799999974668026081e-01,4.221683019399642967e-01,5.783169552683831149e-02
4.899999982863664227e-01,3.968908561021089465e-01,9.310914218425747624e-02
4.699999966472387380e-01,4.162165266275406061e-01,5.378347001969813190e-02
4.799999974668026081e-01,4.241904798150062383e-01,5.580951765179636981e-02
4.799999974668026081e-01,3.943076820671558291e-01,8.569231539964677902e-02
4.699999966472387380e-01,4.152719648927450380e-01,5.472803175449370006e-02
4.599999958276748679e-01,4.098334439098835213e-01,5.016655191779134659e-02
5.249999937415122941e-01,3.807886820845305942e-01,1.442113116569817000e-01
5.899999916553497759e-01,3.809673877619206839e-01,2.090326038934290920e-01
6.299999949336052563e-01,4.089308860898017706e-01,2.210691088438034857e-01
6.699999982118606257e-01,4.435930413752794399e-01,2.264069568365811858e-01
6.999999858438967770e-01,5.065445737540721360e-01,1.934554120898246410e-01
6.800000138580799547e-01,5.484280663728713368e-01,1.315719474852086179e-01
7.199999874830245172e-01,5.537350897490977975e-01,1.662648977339267198e-01
7.500000047683714754e-01,5.831304463744163558e-01,1.668695583939551197e-01
7.399999891221522574e-01,6.189533360302448273e-01,1.210466530919074302e-01
6.899999998509883659e-01,6.352558663487434254e-01,5.474413350224494046e-02
6.800000138580799547e-01,6.460682047903537617e-01,3.393180906772619299e-02
7.100000014901161061e-01,6.653027358651160128e-01,4.469726562500009326e-02
7.399999891221522574e-01,6.574008105695248183e-01,8.259917855262743913e-02
7.199999874830245172e-01,6.834003293514251398e-01,3.659965813159937742e-02
7.300000031292438463e-01,6.869978393614291079e-01,4.300216376781473837e-02
7.100000014901161061e-01,6.720362317562103005e-01,3.796376973390580556e-02
6.800000138580799547e-01,6.652278612554072268e-01,1.477215260267272789e-02
7.300000031292438463e-01,6.187939198315143274e-01,1.112060832977295188e-01
7.500000047683714754e-01,6.467416611313819841e-01,1.032583436369894914e-01
7.500000047683714754e-01,6.555592213571070914e-01,9.444078341126438403e-02
6.999999858438967770e-01,6.712743195891379688e-01,2.872566625475880819e-02
7.100000014901161061e-01,6.998900610208511619e-01,1.010994046926494416e-02
6.999999858438967770e-01,6.725259561836719469e-01,2.747402966022483017e-02
6.899999998509883659e-01,6.541480499505996082e-01,3.585194990038875762e-02
7.100000014901161061e-01,6.298953780531882929e-01,8.010462343692781317e-02
6.400000105798244743e-01,6.068965667486190263e-01,3.310344383120544798e-02
6.400000105798244743e-01,5.682376344501971488e-01,7.176237612962732548e-02
6.099999932944775161e-01,5.980142140388489125e-01,1.198577925562860358e-02
6.099999932944775161e-01,6.024714031815527893e-01,7.528590112924726796e-03
6.000000073015689939e-01,6.031514425575732474e-01,3.151435256004253560e-03
6.200000089406967341e-01,5.873866453766822815e-01,3.261336356401445258e-02
5.600000040233135135e-01,5.808421300351619410e-01,2.084212601184842750e-02
5.700000048428773836e-01,5.660361133515834364e-01,3.963891491293947134e-03
5.700000048428773836e-01,5.586772884428501396e-01,1.132271640002724400e-02
5.600000040233135135e-01,5.526163592934608682e-01,7.383644729852645305e-03
5.600000040233135135e-01,5.437503159046173096e-01,1.624968811869620389e-02
5.800000056624412537e-01,5.470697668194770547e-01,3.293023884296419901e-02
5.700000048428773836e-01,5.440812765061855405e-01,2.591872833669184306e-02
5.700000048428773836e-01,5.463586211204528587e-01,2.364138372242452490e-02
5.600000040233135135e-01,5.530519960820674541e-01,6.948007941246059360e-03
5.400000023841857733e-01,5.244156011193989997e-01,1.558440126478677357e-02
4.899999982863664227e-01,4.987786237150430568e-01,8.778625428676634090e-03
4.899999982863664227e-01,4.731316086649894892e-01,1.686838962137693354e-02
5.200000007450580330e-01,4.676848292350769265e-01,5.231517150998110655e-02
4.899999982863664227e-01,4.466204220056533836e-01,4.337957628071303917e-02
4.999999991059302928e-01,4.669189880043268515e-01,3.308101110160344138e-02
4.999999991059302928e-01,4.769518150389194799e-01,2.304818406701081290e-02
5.400000023841857733e-01,4.790310162305831954e-01,6.096898615360257789e-02
4.999999991059302928e-01,4.863793586939573199e-01,1.362064041197297293e-02
5.200000007450580330e-01,4.875953964889049308e-01,3.240460425615310225e-02
4.599999958276748679e-01,4.807354292273521290e-01,2.073543339967726107e-02
4.599999958276748679e-01,4.584561851620674311e-01,1.543810665607436849e-03
4.699999966472387380e-01,4.493679939955472769e-01,2.063200265169146119e-02
4.599999958276748679e-01,4.473738088458776296e-01,1.262618698179723831e-02
4.300000007823109871e-01,4.491789986193179818e-01,1.917899783700699468e-02
4.099999991431832469e-01,4.478739564120769456e-01,3.787395726889369874e-02
4.099999991431832469e-01,4.238037858158349991e-01,1.380378667265175219e-02
3.900000012107193714e-01,4.290158148109912695e-01,3.901581360027189804e-02
3.999999983236193768e-01,4.302142830193043110e-01,3.021428469568493425e-02
4.099999991431832469e-01,4.098060442507266976e-01,1.939548924565492882e-04
4.099999991431832469e-01,4.031962026655674380e-01,6.803796477615808858e-03
3.900000012107193714e-01,3.801340259425342039e-01,9.865975268185167568e-03
3.699999995715916312e-01,3.497857156954705671e-01,2.021428387612106414e-02
3.699999995715916312e-01,3.522760822810232506e-01,1.772391729056838061e-02
3.499999997857958234e-01,3.402619915269315398e-01,9.738008258864283562e-03
3.499999997857958234e-01,3.487222293578088328e-01,1.277770427986990587e-03
3.399999998928979195e-01,3.595696847327053414e-01,1.956968483980742191e-02
3.300000000000000155e-01,3.743606746010482711e-01,4.436067460104825555e-02
3.300000000000000155e-01,3.776231985725462259e-01,4.762319857254621036e-02
3.399999998928979195e-01,3.928212505578995151e-01,5.282125066500159560e-02
3.399999998928979195e-01,3.905739188008010565e-01,5.057391890790313704e-02
3.600000006053596935e-01,3.730851226113736652e-01,1.308512200601397168e-02
3.399999998928979195e-01,3.635158731974661439e-01,2.351587330456822444e-02
3.800000003911555013e-01,3.445585709251463569e-01,3.544142946600914446e-02
3.900000012107193714e-01,3.550457830540835746e-01,3.495421815663579679e-02
3.999999983236193768e-01,3.890046581812203197e-01,1.099534014239905710e-02
4.500000024214386718e-01,4.061188181489706062e-01,4.388118427246806563e-02
5.099999999254941629e-01,4.650299386680126212e-01,4.497006125748154171e-02
5.300000015646219031e-01,5.110312086343764548e-01,1.896879293024544832e-02
5.899999916553497759e-01,5.460521245002746271e-01,4.394786715507514874e-02
6.200000089406967341e-01,5.690199480950832722e-01,5.098006084561346185e-02
6.400000105798244743e-01,6.004546518623828932e-01,3.954535871744158104e-02
6.699999982118606257e-01,6.352209940552711043e-01,3.477900415658952138e-02
6.699999982118606257e-01,6.636034825444221408e-01,6.396515667438484876e-03
7.500000047683714754e-01,7.097784022986888264e-01,4.022160246968264907e-02
8.700000146031379167e-01,7.553738074004650027e-01,1.146262072026729140e-01
9.100000178813933971e-01,7.858270162343978793e-01,1.241730016469955178e-01
1.000000010430812880e+00,8.332329338788986295e-01,1.667670765519142506e-01
1.040000013709068138e+00,8.832498255372047691e-01,1.567501881718633694e-01
1.069999971687793705e+00,9.205445572733879089e-01,1.494554144144057961e-01
1.149999978244304666e+00,9.952000883221625571e-01,1.547998899221421087e-01
1.120000020265579099e+00,1.073133911490440351e+00,4.686610877513874840e-02
1.200000026822090060e+00,1.131151325702667076e+00,6.884870111942298365e-02
1.250000016093254063e+00,1.185041829347610376e+00,6.495818674564368678e-02
1.160000023543834580e+00,1.197269312739372094e+00,3.726928919553751385e-02
1.139999992251396144e+00,1.185796090960502536e+00,4.579609870910639202e-02
1.219999998807907104e+00,1.177664144933223689e+00,4.233585387468341565e-02
1.239999970793723927e+00,1.234983460903167574e+00,5.016509890556353213e-03
1.349999994635581846e+00,1.258929458260536149e+00,9.107053637504569643e-02
1.430000001192092807e+00,1.313259008824825269e+00,1.167409923672675376e-01
1.440000046491622943e+00,1.362676191926002423e+00,7.732385456562052006e-02
1.529999979734420812e+00,1.408283695578575134e+00,1.217162841558456776e-01
1.650000048875808645e+00,1.485375424027442826e+00,1.646246248483658192e-01
1.640000003576278509e+00,1.559168636798858643e+00,8.083136677741986631e-02
1.809999943375587339e+00,1.631403271555900591e+00,1.785966718196867475e-01
1.930000012516975394e+00,1.698326168060302566e+00,2.316738444566728283e-01
1.899999995231628214e+00,1.771038458347320432e+00,1.289615368843077814e-01
1.869999977946281255e+00,1.807620561718940699e+00,6.237941622734055613e-02
1.969999956488609261e+00,1.821559159755706592e+00,1.484407967329026690e-01
1.780000044703483386e+00,1.844164590239524726e+00,6.416454553604133970e-02
1.819999988675117475e+00,1.792546834945678569e+00,2.745315372943890608e-02
1.650000048875808645e+00,1.752119764685630798e+00,1.021197158098221536e-01
1.769999999403953472e+00,1.743795961737632627e+00,2.620403766632084519e-02
1.889999949932098300e+00,1.708135008811950684e+00,1.818649411201476163e-01
1.819999988675117475e+00,1.677476569414138696e+00,1.425234192609787787e-01
1.609999986290931551e+00,1.638180120587348965e+00,2.818013429641741396e-02
1.706666695475578255e+00,1.522157627940177838e+00,1.845090675354004173e-01
1.803333286046981732e+00,1.468375180959701432e+00,3.349581050872803001e-01
1.899999995231628214e+00,1.540300472378730801e+00,3.596995228528974131e-01
2.019999945759773041e+00,1.639012429714202801e+00,3.809875160455702403e-01
1.949999984502792216e+00,1.778710481524467424e+00,1.712895029783247924e-01
2.029999991059303177e+00,1.857384985089302054e+00,1.726150059700011230e-01
1.899999995231628214e+00,1.900928499698638863e+00,9.285044670106490372e-04
2.149999941587447783e+00,1.905958531498908926e+00,2.440414100885388571e-01
1.999999973773956219e+00,1.948349955677985967e+00,5.165001809597025151e-02
2.099999952316284002e+00,1.953223299384116984e+00,1.467766529321670177e-01
2.200000049471854791e+00,1.966795263886451650e+00,2.332047855854031404e-01
2.140000014901160874e+00,1.991358880400657450e+00,1.486411345005034246e-01
2.090000025629997094e+00,2.006641010642051359e+00,8.335901498794573428e-02
1.919999967217445258e+00,2.030261770486831541e+00,1.102618032693862826e-01
1.750000027418136428e+00,1.985315654277801434e+00,2.353156268596650058e-01
1.800000016689300431e+00,1.914307480454444876e+00,1.143074637651444458e-01
1.889999949932098300e+00,1.833798860311508072e+00,5.620108962059022772e-02
1.769999999403953472e+00,1.767992588877677740e+00,2.007410526275732465e-03
1.730000055432319606e+00,1.680768086910247705e+00,4.923196852207190055e-02
1.750000027418136428e+00,1.604170619845390222e+00,1.458294075727462058e-01
1.640000003576278509e+00,1.562589561343193045e+00,7.741044223308546357e-02
1.759999954104423336e+00,1.520682197809219316e+00,2.393177562952040205e-01
1.689999992847442511e+00,1.504909364581108022e+00,1.850906282663344893e-01
1.759999954104423336e+00,1.484043397307395873e+00,2.759565567970274635e-01
1.880000023245811391e+00,1.485440186858177025e+00,3.945598363876343662e-01
1.559999997019767770e+00,1.525131143331527550e+00,3.486885368824022002e-02
1.549999951720237634e+00,1.510636130571365365e+00,3.936382114887226891e-02
1.559999997019767770e+00,1.503600586056709210e+00,5.639941096305856050e-02
1.510000007748603768e+00,1.474900925755500802e+00,3.509908199310296517e-02
1.460000018477439765e+00,1.445688144564628574e+00,1.431187391281119048e-02
1.570000042319297684e+00,1.395863109827041537e+00,1.741369324922561468e-01
1.529999979734420812e+00,1.383666110038757280e+00,1.463338696956635321e-01
1.620000031590461687e+00,1.385101211667060905e+00,2.348988199234007812e-01
1.490000035762786723e+00,1.416826102733611981e+00,7.317393302917474252e-02
1.609999986290931551e+00,1.425073518753051660e+00,1.849264675378798906e-01
1.499999962449073632e+00,1.509435290098190219e+00,9.435327649116587168e-03
1.549999951720237634e+00,1.551669551730155971e+00,1.669600009918337236e-03
1.739999982118606514e+00,1.567573927044868309e+00,1.724260550737382047e-01
1.709999964833259556e+00,1.604300145506858843e+00,1.056998193264007124e-01
1.579999969005584592e+00,1.588662649989128095e+00,8.662680983543502578e-03
1.469999945163726673e+00,1.551664095520973063e+00,8.166415035724639004e-02
1.679999947547912598e+00,1.478233957886695871e+00,2.017659896612167270e-01
1.380000011920928804e+00,1.450044690370559719e+00,7.004467844963091494e-02
1.390000057220458940e+00,1.389918214082717762e+00,8.184313774117768503e-05
1.410000029206275984e+00,1.345709635019302297e+00,6.429039418697368724e-02
1.410000029206275984e+00,1.357871643900871339e+00,5.212838530540464532e-02
1.360000039935111982e+00,1.357755521535873422e+00,2.244518399238559780e-03
1.490000035762786723e+00,1.378047519326210057e+00,1.119525164365766656e-01
1.390000057220458940e+00,1.484839885234832790e+00,9.483982801437385035e-02
1.390000057220458940e+00,1.515319930315017549e+00,1.253198730945586092e-01
1.460000018477439765e+00,1.400852931737899709e+00,5.914708673954005569e-02
1.499999962449073632e+00,1.344056285023689234e+00,1.559436774253843971e-01
1.399999983906745848e+00,1.336598121523857152e+00,6.340186238288869625e-02
1.449999973177909851e+00,1.337858743071556056e+00,1.121412301063537953e-01
1.499999962449073632e+00,1.363499367833137521e+00,1.365005946159361105e-01
1.469999945163726673e+00,1.413857450485229483e+00,5.614249467849719011e-02
1.449999973177909851e+00,1.460546825528144854e+00,1.054685235023500312e-02
1.430000001192092807e+00,1.489038794040679958e+00,5.903879284858715160e-02
1.419999955892562893e+00,1.529007898569106905e+00,1.090079426765440118e-01
1.469999945163726673e+00,1.558432878851890413e+00,8.843293368816373956e-02
1.510000007748603768e+00,1.592262561917304975e+00,8.226255416870120740e-02
1.490000035762786723e+00,1.608368223905563221e+00,1.183681881427764981e-01
1.440000046491622943e+00,1.579089730978012085e+00,1.390896844863891424e-01
1.380000011920928804e+00,1.516846838593482794e+00,1.368468266725539895e-01
1.549999951720237634e+00,1.484920779466629037e+00,6.507917225360859703e-02
1.579999969005584592e+00,1.547687467932701066e+00,3.231250107288352602e-02
1.620000031590461687e+00,1.622205051779746832e+00,2.205020189285145094e-03
1.679999947547912598e+00,1.721417912840843112e+00,4.141796529293051421e-02
1.739999982118606514e+00,1.804982365965843050e+00,6.498238384723653560e-02
1.700000038146972647e+00,1.845036278963088971e+00,1.450362408161163241e-01
1.629999958276748595e+00,1.815758379101753084e+00,1.857584208250044888e-01
1.739999982118606514e+00,1.757534577846527002e+00,1.753459572792048782e-02
1.650000048875808645e+00,1.681728498339652988e+00,3.172844946384434373e-02
1.499999962449073632e+00,1.617786234021186820e+00,1.177862715721131881e-01
1.590000014305114728e+00,1.541986796855926434e+00,4.801321744918829459e-02
1.529999979734420812e+00,1.521671550869941658e+00,8.328428864479153759e-03
1.620000031590461687e+00,1.517805233597755432e+00,1.021947979927062544e-01
1.720000010132789470e+00,1.530839524269103968e+00,1.891604858636855013e-01
1.709999964833259556e+00,1.601128427386283803e+00,1.088715374469757524e-01
1.689999992847442511e+00,1.696918940544128285e+00,6.918947696685773252e-03
1.789999971389770517e+00,1.756200178861617944e+00,3.379979252815257240e-02
1.689999992847442511e+00,1.820432571172714065e+00,1.304325783252715532e-01
1.860000051259994347e+00,1.830694395899772564e+00,2.930565536022178286e-02
1.789999971389770517e+00,1.872312580347061051e+00,8.231260895729053395e-02
1.889999949932098300e+00,1.902487670779228202e+00,1.248772084712990171e-02
1.949999984502792216e+00,1.935621212720870954e+00,1.437877178192126237e-02
1.880000023245811391e+00,1.979803103804588238e+00,9.980308055877684659e-02
1.839999960660934297e+00,1.947182801365852312e+00,1.071828407049180143e-01
1.850000005960464433e+00,1.889291473031043944e+00,3.929146707057951105e-02
1.869999977946281255e+00,1.862474797964095874e+00,7.525179982185381533e-03
1.759999954104423336e+00,1.845461270213127003e+00,8.546131610870366657e-02
1.629999958276748595e+00,1.788210809230804443e+00,1.582108509540558483e-01
1.609999986290931551e+00,1.704451711773872224e+00,9.445172548294067383e-02
1.640000003576278509e+00,1.630431947708129714e+00,9.568055868148794829e-03
1.679999947547912598e+00,1.588945423960685721e+00,9.105452358722687656e-02
1.579999969005584592e+00,1.585076022744178692e+00,5.076053738594099585e-03
1.460000018477439765e+00,1.559247040152549779e+00,9.924702167511001427e-02
1.469999945163726673e+00,1.497384421825408873e+00,2.738447666168219996e-02
1.419999955892562893e+00,1.453101235032081551e+00,3.310127913951865786e-02
1.440000046491622943e+00,1.425311575531959418e+00,1.468847095966352434e-02
1.380000011920928804e+00,1.419895813465118284e+00,3.989580154418947977e-02
1.430000001192092807e+00,1.380253607034683139e+00,4.974639415740966797e-02
1.360000039935111982e+00,1.348217237591743389e+00,1.178280234336859245e-02
1.239999970793723927e+00,1.321149992048740396e+00,8.115002125501646901e-02
